Track Name,Artist(s) Name,Album Name,Release Date,Popularity Score,Track URL
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,77,https://open.spotify.com/track/56y1jOTK0XSvJzVv9vHQBK
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",Seven (feat. Latto),2023-07-14,97,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),2023-09-29,0,https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE
greedy,Tate McRae,greedy,2023-09-15,91,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
Cruel Summer,Taylor Swift,Lover,2019-08-23,98,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
Strangers,Kenya Grace,Strangers,2023-09-01,94,https://open.spotify.com/track/5mjYQaktjmjcMKcUIcqz4s
UN PREVIEW,Bad Bunny,UN PREVIEW,2023-09-25,85,https://open.spotify.com/track/63ui2w3QJBp8xx0c1MJB2Z
QLONA,"KAROL G, Peso Pluma",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,92,https://open.spotify.com/track/5RqSsdzTNPX1uzkmlHCFvK
LALA,Myke Towers,LA VIDA ES UNA,2023-03-23,97,https://open.spotify.com/track/7ABLbnD53cQK00mhcaOUVG
vampire,Olivia Rodrigo,GUTS,2023-09-08,94,https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS
Columbia,Quevedo,Columbia,2023-07-07,95,https://open.spotify.com/track/6XbtvPmIpyCbjuT0e8cQtp
fukumean,Gunna,a Gift & a Curse,2023-06-16,95,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS
LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",GÉNESIS,2023-06-29,94,https://open.spotify.com/track/7mXuWTczZNxG5EDcjFEuJR
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,95,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,96,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,92,https://open.spotify.com/track/59NraMJsLaMCVtwXTSia8i
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,94,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n
Daylight,David Kushner,Daylight,2023-04-14,94,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj
bad idea right?,Olivia Rodrigo,GUTS,2023-09-08,92,https://open.spotify.com/track/3IX0yuEVvDbnqUwMBB3ouC
As It Was,Harry Styles,Harry's House,2022-05-20,93,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
Según Quién,"Maluma, Carin Leon",Don Juan,2023-08-25,81,https://open.spotify.com/track/4bw8mcDUSRWfQo63ZTYRnU
Si No Estás,iñigo quintero,Si No Estás,2022-09-23,79,https://open.spotify.com/track/2HafqoJbgXdtjwCOvNEF14
Starboy,"The Weeknd, Daft Punk",Starboy,2016-11-25,92,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,2023-08-30,90,https://open.spotify.com/track/6uIIdjYTxxpWOyWuVXrKQO
Kill Bill,SZA,SOS,2022-12-08,91,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
Classy 101,"Feid, Young Miko",Classy 101,2023-03-31,93,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,2023-08-25,92,https://open.spotify.com/track/4KULAymBBJcPRpk1yO4dOG
Primera Cita,Carin Leon,Colmillo De Leche,2023-05-19,86,https://open.spotify.com/track/25OeKzcqakFPaJlXHPE5lm
Slow Dancing,V,Layover,2023-09-08,94,https://open.spotify.com/track/5h1BN75CEh8wdSwE1xrbSe
Sprinter,"Dave, Central Cee",Sprinter,2023-06-01,93,https://open.spotify.com/track/2FDTHlrBguDzQkp7PVj16Q
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Jawan,2023-09-05,80,https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv
Holanda,Jhayco,Holanda,2023-07-28,92,https://open.spotify.com/track/6irysuQyZWd7Bjj7ePiOs2
Blank Space,Taylor Swift,1989,2014-10-27,81,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky
Style,Taylor Swift,1989,2014-10-27,81,https://open.spotify.com/track/4lIxdJw6W3Fg4vUIYCB0S5
Die For You,The Weeknd,Starboy,2016-11-24,89,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,2012-12-07,90,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),2023-06-02,92,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG
3D (feat. Jack Harlow) (Alternate Ver.),"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),2023-09-29,0,https://open.spotify.com/track/2pLZ6tUBapqlngc9lnYz4M
un x100to,"Grupo Frontera, Bad Bunny",El Comienzo,2023-08-25,83,https://open.spotify.com/track/2yzshFeBIwH8tWIqHEFLeD
Flowers,Miley Cyrus,Endless Summer Vacation,2023-08-18,75,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,90,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,91,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
get him back!,Olivia Rodrigo,GUTS,2023-09-08,92,https://open.spotify.com/track/2gyxAWHebV7xPYVxqoi86f
Anti-Hero,Taylor Swift,Midnights,2022-10-21,92,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
Super Shy,NewJeans,NewJeans 'Super Shy',2023-07-07,92,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd
Agora Hills,Doja Cat,Scarlet,2023-09-20,68,https://open.spotify.com/track/5PyDJG7SQRgWXefgexqIge
La Bebe - Remix,"Yng Lvcas, Peso Pluma",La Bebe (Remix),2023-03-17,93,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU
Ella Baila Sola,"Eslabon Armado, Peso Pluma",DESVELADO,2023-04-28,86,https://open.spotify.com/track/3qQbCzHBycnDpGskqOWY0E
I KNOW ?,Travis Scott,UTOPIA,2023-07-28,92,https://open.spotify.com/track/6wsqVwoiVH2kde4k4KKAFU
Calm Down (with Selena Gomez),"Rema, Selena Gomez",Rave & Roses Ultra,2023-04-27,80,https://open.spotify.com/track/1s7oOCT8vauUh01PbJD6ps
